"","Day","Hour","Temp","KWH"
"119",20160618,16,69,96.2731151726626
"120",20160618,17,69,94.3380551688949
"121",20160618,18,67,87.8954969615804
"122",20160618,19,65,81.4529387542659
"123",20160618,20,63,75.0103805469513
"124",20160618,21,62,70.8215714414102
"125",20160618,22,61,66.6327623358691
"126",20160618,23,61,64.6977023321015
"127",20160619,0,60,96.8096331273497
"128",20160619,1,60,94.874573123582
"129",20160619,2,59,90.6857640180409
"130",20160619,3,58,86.4969549124998
"131",20160619,4,57,82.3081458069587
"132",20160619,5,56,78.1193367014176
"133",20160619,6,57,78.4380257994233
"134",20160619,7,60,83.2642131009759
"135",20160619,8,63,88.0904004025284
"136",20160619,9,66,92.916587704081
"137",20160619,10,68,95.4890259038602
"138",20160619,11,70,98.0614641036393
"139",20160619,12,71,98.380153201645
"140",20160619,13,70,94.1913440961039
"141",20160619,14,69,90.0025349905629
"142",20160619,15,69,88.0674749867952
"143",20160619,16,68,83.8786658812541
"144",20160619,17,68,81.9436058774864
"145",20160619,18,66,75.5010476701719
"146",20160619,19,65,71.3122385646308
"147",20160619,20,62,62.6159312555428
"148",20160619,21,62,60.6808712517752
"149",20160619,22,62,58.7458112480075
"150",20160619,23,62,56.8107512442398
"151",20160620,0,62,163.969895359997
"152",20160620,1,62,162.034835356229
"153",20160620,2,62,160.099775352462
"154",20160620,3,61,155.910966246921
"155",20160620,4,61,153.975906243153
"156",20160620,5,61,152.040846239385
"157",20160620,6,61,150.105786235618
"158",20160620,7,63,152.678224435397
"159",20160620,8,67,159.758160838723
"160",20160620,9,70,164.584348140275
"161",20160620,10,73,169.410535441828
"162",20160620,11,74,169.729224539834
"163",20160620,12,76,172.301662739613
"164",20160620,13,76,170.366602735845
"165",20160620,14,77,170.685291833851
"166",20160620,15,77,168.750231830083
"167",20160620,16,76,164.561422724542
"168",20160620,17,75,160.372613619001
"169",20160620,18,75,158.437553615233
"170",20160620,19,74,154.248744509692
"171",20160620,20,73,150.059935404151
"172",20160620,21,71,143.617377196836
"173",20160620,22,71,141.682317193069
"174",20160620,23,70,137.493508087528
"175",20160621,0,69,188.015981275026
"176",20160621,1,68,183.827172169485
"177",20160621,2,68,181.892112165717
"178",20160621,3,66,175.449553958403
"179",20160621,4,66,173.514493954635
"180",20160621,5,66,171.579433950867
"181",20160621,6,67,171.898123048873
"182",20160621,7,69,174.470561248652
"183",20160621,8,72,179.296748550205
"184",20160621,9,74,181.869186749984
"185",20160621,10,77,186.695374051537
"186",20160621,11,80,191.521561353089
"187",20160621,12,82,194.093999552868
"188",20160621,13,83,194.412688650874
"189",20160621,14,83,192.477628647106
"190",20160621,15,83,190.542568643339
"191",20160621,16,81,184.100010436024
"192",20160621,17,80,179.911201330483
"193",20160621,18,79,175.722392224942
"194",20160621,19,78,171.533583119401
"195",20160621,20,76,165.091024912086
"196",20160621,21,75,160.902215806545
"197",20160621,22,73,154.459657599231
"198",20160621,23,71,148.017099391916
"199",20160622,0,71,198.380991602878
"200",20160622,1,69,191.938433395564
"201",20160622,2,68,187.749624290023
"202",20160622,3,67,183.560815184482
"203",20160622,4,67,181.625755180714
"204",20160622,5,67,179.690695176946
"205",20160622,6,67,177.755635173179
"206",20160622,7,69,180.328073372958
"207",20160622,8,72,185.15426067451
"208",20160622,9,74,187.72669887429
"209",20160622,10,76,190.299137074069
"210",20160622,11,78,192.871575273848
"211",20160622,12,79,193.190264371854
"212",20160622,13,80,193.508953469859
"213",20160622,14,81,193.827642567865
"214",20160622,15,80,189.638833462324
"215",20160622,16,79,185.450024356783
"216",20160622,17,78,181.261215251242
"217",20160622,18,76,174.818657043927
"218",20160622,19,75,170.629847938386
"219",20160622,20,74,166.441038832845
"220",20160622,21,72,159.998480625531
"221",20160622,22,70,153.555922418216
"222",20160622,23,69,149.367113312675
