"","Date","Hour","Temp"
"6645",2014-03-17,20,27
"6976",2014-03-17,21,26.1
"7303",2014-03-17,22,26.1
"7627",2014-03-17,23,26.1
"77",2014-03-18,0,28.9
"406",2014-03-18,1,23
"736",2014-03-18,2,21.9
"1066",2014-03-18,3,21
"1396",2014-03-18,4,19.9
"1722",2014-03-18,5,19.9
"2049",2014-03-18,6,19.9
"2378",2014-03-18,7,21
"2705",2014-03-18,8,26.1
"3035",2014-03-18,9,28.9
"3363",2014-03-18,10,30.9
"3689",2014-03-18,11,30.9
"4016",2014-03-18,12,32
"4342",2014-03-18,13,32
"4671",2014-03-18,14,32
"4999",2014-03-18,15,32
"5329",2014-03-18,16,32
"5657",2014-03-18,17,30.9
"5986",2014-03-18,18,30
"6315",2014-03-18,19,30
"6646",2014-03-18,20,28.9
"6977",2014-03-18,21,28
"7304",2014-03-18,22,28.9
"7628",2014-03-18,23,28.9
"78",2014-03-19,0,37.2
"407",2014-03-19,1,30
"737",2014-03-19,2,28
"1067",2014-03-19,3,27
"1397",2014-03-19,4,27
"1723",2014-03-19,5,27
"2050",2014-03-19,6,27
"2379",2014-03-19,7,30.9
"2706",2014-03-19,8,34
"3036",2014-03-19,9,37.9
"3364",2014-03-19,10,39
"3690",2014-03-19,11,39.9
"4017",2014-03-19,12,39
"4343",2014-03-19,13,39
"4672",2014-03-19,14,39
"5000",2014-03-19,15,37.9
"5330",2014-03-19,16,37.9
"5658",2014-03-19,17,37
"5987",2014-03-19,18,36
"6316",2014-03-19,19,37
"6647",2014-03-19,20,36
"6978",2014-03-19,21,36
"7305",2014-03-19,22,35.8
"7629",2014-03-19,23,37
"79",2014-03-20,0,39.9
"408",2014-03-20,1,37.2
"738",2014-03-20,2,37
"1068",2014-03-20,3,37
"1398",2014-03-20,4,37.65
"1724",2014-03-20,5,37.65
"2051",2014-03-20,6,38.2
"2380",2014-03-20,7,39.4333333333333
"2707",2014-03-20,8,40.4
"3037",2014-03-20,9,41
"3365",2014-03-20,10,42.45
"3691",2014-03-20,11,46
"4018",2014-03-20,12,50
"4344",2014-03-20,13,51.1
"4673",2014-03-20,14,50
"5001",2014-03-20,15,48.9
"5331",2014-03-20,16,50
"5659",2014-03-20,17,48.9
"5988",2014-03-20,18,48
"6317",2014-03-20,19,45
"6648",2014-03-20,20,44.1
"6979",2014-03-20,21,42.1
"7306",2014-03-20,22,39.9
"7630",2014-03-20,23,41
"80",2014-03-21,0,34
"409",2014-03-21,1,39
"739",2014-03-21,2,39
"1069",2014-03-21,3,37
"1399",2014-03-21,4,37
"1725",2014-03-21,5,37
"2052",2014-03-21,6,37
"2381",2014-03-21,7,37
"2708",2014-03-21,8,37
"3038",2014-03-21,9,39
"3366",2014-03-21,10,39.9
"3692",2014-03-21,11,41
"4019",2014-03-21,12,42.1
"4345",2014-03-21,13,43
"4674",2014-03-21,14,42.1
"5002",2014-03-21,15,42.1
"5332",2014-03-21,16,41
"5660",2014-03-21,17,41
"5989",2014-03-21,18,39
"6318",2014-03-21,19,37.9
"6649",2014-03-21,20,37
"6980",2014-03-21,21,36
"7307",2014-03-21,22,35.1
"7631",2014-03-21,23,34
"81",2014-03-22,0,37
"410",2014-03-22,1,33.1
"740",2014-03-22,2,32
"1070",2014-03-22,3,30.9
"1400",2014-03-22,4,28
"1726",2014-03-22,5,28
"2053",2014-03-22,6,28.9
"2382",2014-03-22,7,30
"2709",2014-03-22,8,32
"3039",2014-03-22,9,36
"3367",2014-03-22,10,39
"3693",2014-03-22,11,48
"4020",2014-03-22,12,52
"4346",2014-03-22,13,52
"4675",2014-03-22,14,55
"5003",2014-03-22,15,55
"5333",2014-03-22,16,57
"5661",2014-03-22,17,54
"5990",2014-03-22,18,50
"6319",2014-03-22,19,46
"6650",2014-03-22,20,44.1
"6981",2014-03-22,21,41
"7308",2014-03-22,22,39
"7632",2014-03-22,23,37.9
"82",2014-03-23,0,21.9
"411",2014-03-23,1,37
"741",2014-03-23,2,36
"1071",2014-03-23,3,36
"1401",2014-03-23,4,34
"1727",2014-03-23,5,34
"2054",2014-03-23,6,34
"2383",2014-03-23,7,35.1
"2710",2014-03-23,8,37
"3040",2014-03-23,9,37.9
"3368",2014-03-23,10,39.9
"3694",2014-03-23,11,41
"4021",2014-03-23,12,44.1
"4347",2014-03-23,13,43
"4676",2014-03-23,14,42.1
"5004",2014-03-23,15,42.1
"5334",2014-03-23,16,39.9
"5662",2014-03-23,17,37.9
"5991",2014-03-23,18,36
"6320",2014-03-23,19,34
"6651",2014-03-23,20,33.1
"6982",2014-03-23,21,30
"7309",2014-03-23,22,27
"7633",2014-03-23,23,25
"83",2014-03-24,0,26.1
"412",2014-03-24,1,19
"742",2014-03-24,2,18
"1072",2014-03-24,3,17.1
"1402",2014-03-24,4,17.1
"1728",2014-03-24,5,17.1
"2055",2014-03-24,6,17.1
"2384",2014-03-24,7,18
"2711",2014-03-24,8,19.9
"3041",2014-03-24,9,23
"3369",2014-03-24,10,24.1
"3695",2014-03-24,11,26.1
"4022",2014-03-24,12,28.9
"4348",2014-03-24,13,30.9
"4677",2014-03-24,14,30.9
"5005",2014-03-24,15,32
"5335",2014-03-24,16,32
"5663",2014-03-24,17,30.9
"5992",2014-03-24,18,30
"6321",2014-03-24,19,28.9
"6652",2014-03-24,20,28
"6983",2014-03-24,21,28
"7310",2014-03-24,22,28
"7634",2014-03-24,23,28
"84",2014-03-25,0,33.1
"413",2014-03-25,1,25
"743",2014-03-25,2,24.1
"1073",2014-03-25,3,23
"1403",2014-03-25,4,23
"1729",2014-03-25,5,23
"2056",2014-03-25,6,21.9
"2385",2014-03-25,7,24.1
"2712",2014-03-25,8,27
"3042",2014-03-25,9,30
"3370",2014-03-25,10,30.9
"3696",2014-03-25,11,32
"4023",2014-03-25,12,35.1
"4349",2014-03-25,13,36
"4678",2014-03-25,14,39
"5006",2014-03-25,15,35.35
"5336",2014-03-25,16,35.1
"5664",2014-03-25,17,36
"5993",2014-03-25,18,35.1
"6322",2014-03-25,19,34
"6653",2014-03-25,20,33.1
"6984",2014-03-25,21,32
"7311",2014-03-25,22,32
"7635",2014-03-25,23,32
"85",2014-03-26,0,24.1
"414",2014-03-26,1,33.1
"744",2014-03-26,2,33.1
"1074",2014-03-26,3,32
"1404",2014-03-26,4,30.9
"1730",2014-03-26,5,30.9
"2057",2014-03-26,6,30
"2386",2014-03-26,7,28.9
"2713",2014-03-26,8,30
"3043",2014-03-26,9,28.9
"3371",2014-03-26,10,30
"3697",2014-03-26,11,30.9
"4024",2014-03-26,12,33.1
"4350",2014-03-26,13,34
"4679",2014-03-26,14,34
"5007",2014-03-26,15,34
"5337",2014-03-26,16,34
"5665",2014-03-26,17,33.1
"5994",2014-03-26,18,30.9
"6323",2014-03-26,19,30
"6654",2014-03-26,20,28.9
"6985",2014-03-26,21,28
"7312",2014-03-26,22,26.1
"7636",2014-03-26,23,25
"86",2014-03-27,0,35.1
"415",2014-03-27,1,21.9
"745",2014-03-27,2,21.9
"1075",2014-03-27,3,21
"1405",2014-03-27,4,21
"1731",2014-03-27,5,21
"2058",2014-03-27,6,21.9
"2387",2014-03-27,7,23
"2714",2014-03-27,8,25
"3044",2014-03-27,9,28
"3372",2014-03-27,10,30.9
"3698",2014-03-27,11,34
"4025",2014-03-27,12,37
"4351",2014-03-27,13,39.9
"4680",2014-03-27,14,43
"5008",2014-03-27,15,45
"5338",2014-03-27,16,46
"5666",2014-03-27,17,45
"5995",2014-03-27,18,43
"6324",2014-03-27,19,39
"6655",2014-03-27,20,37
"6986",2014-03-27,21,37
"7313",2014-03-27,22,36
"7637",2014-03-27,23,36
"87",2014-03-28,0,50
"416",2014-03-28,1,36
"746",2014-03-28,2,36
"1076",2014-03-28,3,37
"1406",2014-03-28,4,37.9
"1732",2014-03-28,5,37
"2059",2014-03-28,6,37
"2388",2014-03-28,7,39
"2715",2014-03-28,8,42.1
"3045",2014-03-28,9,46.9
"3373",2014-03-28,10,51.1
"3699",2014-03-28,11,54
"4026",2014-03-28,12,57.9
"4352",2014-03-28,13,60.1
"4681",2014-03-28,14,57.9
"5009",2014-03-28,15,51.9
"5339",2014-03-28,16,51.9
"5667",2014-03-28,17,52
"5996",2014-03-28,18,52
"6325",2014-03-28,19,51.1
"6656",2014-03-28,20,51.1
"6987",2014-03-28,21,51.1
"7314",2014-03-28,22,50
"7638",2014-03-28,23,51.1
"88",2014-03-29,0,39.9
"417",2014-03-29,1,48
"747",2014-03-29,2,49.4
"1077",2014-03-29,3,50
"1407",2014-03-29,4,48
"1733",2014-03-29,5,46.9
"2060",2014-03-29,6,46
"2389",2014-03-29,7,48
"2716",2014-03-29,8,50
"3046",2014-03-29,9,52
"3374",2014-03-29,10,50
"3700",2014-03-29,11,48
"4027",2014-03-29,12,46.9
"4353",2014-03-29,13,45
"4682",2014-03-29,14,44.1
"5010",2014-03-29,15,42.1
"5340",2014-03-29,16,41
"5668",2014-03-29,17,39.9
"5997",2014-03-29,18,39.55
"6326",2014-03-29,19,39.1
"6657",2014-03-29,20,39
"6988",2014-03-29,21,39
"7315",2014-03-29,22,39.1
"7639",2014-03-29,23,39.9
"89",2014-03-30,0,35.6571428571429
"418",2014-03-30,1,39.55
"748",2014-03-30,2,40.1
"1078",2014-03-30,3,40.1
"1408",2014-03-30,4,41
"1734",2014-03-30,5,41
"2061",2014-03-30,6,42.8666666666667
"2390",2014-03-30,7,41
"2717",2014-03-30,8,42.1
"3047",2014-03-30,9,42.1
"3375",2014-03-30,10,43
"3701",2014-03-30,11,41
"4028",2014-03-30,12,39.9
"4354",2014-03-30,13,39.9
"4683",2014-03-30,14,39.9
"5011",2014-03-30,15,39.4333333333333
"5341",2014-03-30,16,39.4333333333333
"5669",2014-03-30,17,39.1
"5998",2014-03-30,18,38.55
"6327",2014-03-30,19,37.9
"6658",2014-03-30,20,37
"6989",2014-03-30,21,37
"7316",2014-03-30,22,36.15
"7640",2014-03-30,23,36
"90",2014-03-31,0,37.9
"419",2014-03-31,1,34.6
"749",2014-03-31,2,33.85
"1079",2014-03-31,3,33.85
"1409",2014-03-31,4,33.8333333333333
"1735",2014-03-31,5,33.9
"2062",2014-03-31,6,34
"2391",2014-03-31,7,35.1
"2718",2014-03-31,8,35.475
"3048",2014-03-31,9,35.7333333333333
"3376",2014-03-31,10,35.7333333333333
"3702",2014-03-31,11,35.4333333333333
"4029",2014-03-31,12,35.4333333333333
"4355",2014-03-31,13,36.0666666666667
"4684",2014-03-31,14,37.9333333333333
"5012",2014-03-31,15,41
"5342",2014-03-31,16,41
"5670",2014-03-31,17,39.9
"5999",2014-03-31,18,39.9
"6328",2014-03-31,19,41
"6659",2014-03-31,20,41
"6990",2014-03-31,21,39
"7317",2014-03-31,22,39
"7641",2014-03-31,23,39
"91",2014-04-01,0,43
"420",2014-04-01,1,37.9
"750",2014-04-01,2,37.9
"1080",2014-04-01,3,36
"1410",2014-04-01,4,35.1
"1736",2014-04-01,5,35.1
"2063",2014-04-01,6,35.1
"2392",2014-04-01,7,37
"2719",2014-04-01,8,39.9
"3049",2014-04-01,9,42.1
"3377",2014-04-01,10,45
"3703",2014-04-01,11,46
"4030",2014-04-01,12,46
"4356",2014-04-01,13,46
"4685",2014-04-01,14,45
"5013",2014-04-01,15,45
"5343",2014-04-01,16,43
"5671",2014-04-01,17,42.1
"6000",2014-04-01,18,41
"6329",2014-04-01,19,39.9
"6660",2014-04-01,20,39.9
"6991",2014-04-01,21,41
"7318",2014-04-01,22,42.1
"7642",2014-04-01,23,42.1
"92",2014-04-02,0,37.9
"421",2014-04-02,1,41
"751",2014-04-02,2,41
"1081",2014-04-02,3,39.9
"1411",2014-04-02,4,39.9
"1737",2014-04-02,5,39
"2064",2014-04-02,6,39
"2720",2014-04-02,8,43
"3050",2014-04-02,9,43
"3378",2014-04-02,10,45
"3704",2014-04-02,11,45
"4031",2014-04-02,12,44.1
"4357",2014-04-02,13,45
"4686",2014-04-02,14,43
"5014",2014-04-02,15,44.1
"5344",2014-04-02,16,43
"5672",2014-04-02,17,42.1
"6001",2014-04-02,18,41
"6330",2014-04-02,19,39.9
"6661",2014-04-02,20,39
"6992",2014-04-02,21,39.9
"7319",2014-04-02,22,39
"7643",2014-04-02,23,37
"93",2014-04-03,0,39.9
"422",2014-04-03,1,39
"752",2014-04-03,2,37.9
"1082",2014-04-03,3,41
"1412",2014-04-03,4,41
"1738",2014-04-03,5,42.1
"2065",2014-04-03,6,42.1
"2393",2014-04-03,7,43
"2721",2014-04-03,8,46
"3051",2014-04-03,9,46.9
"3379",2014-04-03,10,48.9
"3705",2014-04-03,11,50
"4032",2014-04-03,12,52
"4358",2014-04-03,13,46
"4687",2014-04-03,14,45
"5015",2014-04-03,15,44.1
"5345",2014-04-03,16,43
"5673",2014-04-03,17,41
"6002",2014-04-03,18,41
"6331",2014-04-03,19,39.9
"6662",2014-04-03,20,39
"6993",2014-04-03,21,37.9
"7644",2014-04-03,23,39.9
"94",2014-04-04,0,39.16
"423",2014-04-04,1,39.9
"753",2014-04-04,2,37
"1083",2014-04-04,3,37.9
"1413",2014-04-04,4,37
"1739",2014-04-04,5,37.9
"2066",2014-04-04,6,37.9
"2394",2014-04-04,7,39
"2722",2014-04-04,8,39.9
"3052",2014-04-04,9,39.9
"3380",2014-04-04,10,41
"3706",2014-04-04,11,42.1
"4033",2014-04-04,12,42.1
"4359",2014-04-04,13,42.1
"4688",2014-04-04,14,44.1
"5016",2014-04-04,15,41
"5346",2014-04-04,16,41
"5674",2014-04-04,17,39.9
"6003",2014-04-04,18,39.9
"6332",2014-04-04,19,39.9
"6663",2014-04-04,20,39.9
"6994",2014-04-04,21,39
"7320",2014-04-04,22,39
"7645",2014-04-04,23,38.1666666666667
"95",2014-04-05,0,37.9
"424",2014-04-05,1,37.8
"754",2014-04-05,2,39
"1084",2014-04-05,3,39.375
"1414",2014-04-05,4,40.1
"1740",2014-04-05,5,39.55
"2067",2014-04-05,6,39.9
"2395",2014-04-05,7,39.55
"2723",2014-04-05,8,41
"3053",2014-04-05,9,42.45
"3381",2014-04-05,10,44.8
"3707",2014-04-05,11,46.65
"4034",2014-04-05,12,51.1
"4360",2014-04-05,13,52
"4689",2014-04-05,14,50
"5017",2014-04-05,15,48.9
"5347",2014-04-05,16,48.9
"5675",2014-04-05,17,50
"6004",2014-04-05,18,46.9
"6333",2014-04-05,19,44.1
"6664",2014-04-05,20,41
"6995",2014-04-05,21,39.9
"7321",2014-04-05,22,39
"7646",2014-04-05,23,37.9
"96",2014-04-06,0,44.1
"425",2014-04-06,1,37
"755",2014-04-06,2,37
"1085",2014-04-06,3,36
"1415",2014-04-06,4,36
"1741",2014-04-06,5,35.1
"2068",2014-04-06,6,36
"2396",2014-04-06,7,37
"2724",2014-04-06,8,39
"3054",2014-04-06,9,42.1
"3382",2014-04-06,10,45
"3708",2014-04-06,11,48
"4035",2014-04-06,12,50
"4361",2014-04-06,13,53.1
"4690",2014-04-06,14,55
"5018",2014-04-06,15,57
"5348",2014-04-06,16,57.9
"5676",2014-04-06,17,57.9
"6005",2014-04-06,18,55.9
"6334",2014-04-06,19,55
"6665",2014-04-06,20,53.1
"6996",2014-04-06,21,52
"7322",2014-04-06,22,51.1
"7647",2014-04-06,23,50
"97",2014-04-07,0,42.9
"426",2014-04-07,1,42.1
"756",2014-04-07,2,42.1
"1086",2014-04-07,3,41
"1416",2014-04-07,4,39.9
"1742",2014-04-07,5,39.9
"2069",2014-04-07,6,39
"2397",2014-04-07,7,43
"2725",2014-04-07,8,48.9
"3055",2014-04-07,9,52
"3383",2014-04-07,10,53.1
"3709",2014-04-07,11,52
"4036",2014-04-07,12,50
"4362",2014-04-07,13,54
"4691",2014-04-07,14,57
"5019",2014-04-07,15,57
"5349",2014-04-07,16,52
"5677",2014-04-07,17,50
"6006",2014-04-07,18,48.9
"6335",2014-04-07,19,46.9
"6666",2014-04-07,20,45
"6997",2014-04-07,21,45
"7323",2014-04-07,22,43
"7648",2014-04-07,23,42.8666666666667
"98",2014-04-08,0,46
"427",2014-04-08,1,43.3
"757",2014-04-08,2,45
"1087",2014-04-08,3,44.8
"1417",2014-04-08,4,46.9
"1743",2014-04-08,5,46.9
"2070",2014-04-08,6,50
"2398",2014-04-08,7,51.22
"2726",2014-04-08,8,49.5
"3056",2014-04-08,9,51.9
"3384",2014-04-08,10,53.25
"3710",2014-04-08,11,57
"4037",2014-04-08,12,58.65
"4363",2014-04-08,13,62.1
"4692",2014-04-08,14,64.2
"5020",2014-04-08,15,64.9
"5350",2014-04-08,16,64
"5678",2014-04-08,17,63
"6007",2014-04-08,18,61
"6336",2014-04-08,19,61
"6667",2014-04-08,20,53.1
"6998",2014-04-08,21,50
"7324",2014-04-08,22,48
"7649",2014-04-08,23,46.9
"99",2014-04-09,0,41
"428",2014-04-09,1,45
"758",2014-04-09,2,44.1
"1088",2014-04-09,3,43
"1418",2014-04-09,4,43
"1744",2014-04-09,5,43
"2071",2014-04-09,6,43
"2399",2014-04-09,7,46
"2727",2014-04-09,8,48.9
"3057",2014-04-09,9,51.1
"3385",2014-04-09,10,53.1
"3711",2014-04-09,11,55.9
"4038",2014-04-09,12,55
"4364",2014-04-09,13,57.9
"4693",2014-04-09,14,55.9
"5021",2014-04-09,15,55.9
"5351",2014-04-09,16,55
"5679",2014-04-09,17,54
"6008",2014-04-09,18,51.1
"6337",2014-04-09,19,48.9
"6668",2014-04-09,20,46.9
"6999",2014-04-09,21,46
"7325",2014-04-09,22,44.1
"7650",2014-04-09,23,42.1
"100",2014-04-10,0,48.1
"429",2014-04-10,1,39.9
"759",2014-04-10,2,39.9
"1089",2014-04-10,3,39.9
"1419",2014-04-10,4,39.9
"1745",2014-04-10,5,36
"2072",2014-04-10,6,39
"2400",2014-04-10,7,42.1
"2728",2014-04-10,8,45
"3058",2014-04-10,9,48.9
"3386",2014-04-10,10,52
"3712",2014-04-10,11,55
"4039",2014-04-10,12,57.9
"4365",2014-04-10,13,59
"4694",2014-04-10,14,57.9
"5022",2014-04-10,15,55.9
"5352",2014-04-10,16,55
"5680",2014-04-10,17,53.1
"6009",2014-04-10,18,51.1
"6338",2014-04-10,19,48.9
"6669",2014-04-10,20,48
"7000",2014-04-10,21,48
"7326",2014-04-10,22,48.9
"7651",2014-04-10,23,48
"101",2014-04-11,0,53.1
"430",2014-04-11,1,48.9
"760",2014-04-11,2,50
"1090",2014-04-11,3,52
"1420",2014-04-11,4,51.1
"1746",2014-04-11,5,53.1
"2073",2014-04-11,6,53.1
"2401",2014-04-11,7,54
"2729",2014-04-11,8,55.9
"3059",2014-04-11,9,57
"3387",2014-04-11,10,59
"3713",2014-04-11,11,62.1
"4040",2014-04-11,12,63
"4366",2014-04-11,13,64.9
"4695",2014-04-11,14,68
"5023",2014-04-11,15,68
"5353",2014-04-11,16,68
"5681",2014-04-11,17,66.9
"6010",2014-04-11,18,63
"6339",2014-04-11,19,60.1
"6670",2014-04-11,20,57.9
"7001",2014-04-11,21,57.9
"7327",2014-04-11,22,55.9
"7652",2014-04-11,23,55
"102",2014-04-12,0,53.1
"431",2014-04-12,1,52
"761",2014-04-12,2,51.1
"1091",2014-04-12,3,50
"1421",2014-04-12,4,50
"1747",2014-04-12,5,48.9
"2074",2014-04-12,6,48.9
"2402",2014-04-12,7,51.1
"2730",2014-04-12,8,53.1
"3060",2014-04-12,9,57
"3388",2014-04-12,10,59
"3714",2014-04-12,11,62.1
"4041",2014-04-12,12,64
"4367",2014-04-12,13,66.9
"4696",2014-04-12,14,68
"5024",2014-04-12,15,68
"5354",2014-04-12,16,69.1
"5682",2014-04-12,17,68
"6011",2014-04-12,18,66.9
"6340",2014-04-12,19,66
"6671",2014-04-12,20,62.1
"7002",2014-04-12,21,55
"7328",2014-04-12,22,52
"7653",2014-04-12,23,51.1
"103",2014-04-13,0,57
"432",2014-04-13,1,54
"762",2014-04-13,2,50
"1092",2014-04-13,3,50
"1422",2014-04-13,4,46
"1748",2014-04-13,5,45
"2075",2014-04-13,6,46.9
"2403",2014-04-13,7,48
"2731",2014-04-13,8,50
"3061",2014-04-13,9,48
"3389",2014-04-13,10,46
"3715",2014-04-13,11,46.9
"4042",2014-04-13,12,46.9
"4368",2014-04-13,13,48.9
"4697",2014-04-13,14,51.1
"5025",2014-04-13,15,55.9
"5355",2014-04-13,16,55.9
"5683",2014-04-13,17,57.9
"6012",2014-04-13,18,60.1
"6341",2014-04-13,19,60.1
"6672",2014-04-13,20,55.9
"7003",2014-04-13,21,55.9
"7329",2014-04-13,22,54
"7654",2014-04-13,23,57.9
"104",2014-04-14,0,61
"433",2014-04-14,1,57.9
"763",2014-04-14,2,59
"1093",2014-04-14,3,59
"1423",2014-04-14,4,57.9
"1749",2014-04-14,5,57.9
"2076",2014-04-14,6,59
"2404",2014-04-14,7,61
"2732",2014-04-14,8,64.9
"3062",2014-04-14,9,69.1
"3390",2014-04-14,10,72
"3716",2014-04-14,11,75
"4043",2014-04-14,12,73.9
"4369",2014-04-14,13,73
"4698",2014-04-14,14,71.1
"5026",2014-04-14,15,72
"5356",2014-04-14,16,70
"5684",2014-04-14,17,66.9
"6013",2014-04-14,18,66
"6342",2014-04-14,19,63
"6673",2014-04-14,20,62.1
"7004",2014-04-14,21,61
"7330",2014-04-14,22,60.1
"7655",2014-04-14,23,61
"105",2014-04-15,0,43.1666666666667
"434",2014-04-15,1,61
"764",2014-04-15,2,61
"1094",2014-04-15,3,60.45
"1424",2014-04-15,4,60.5666666666667
"1750",2014-04-15,5,60.1
"2077",2014-04-15,6,58.0333333333333
"2405",2014-04-15,7,58.4
"2733",2014-04-15,8,60.9
"3063",2014-04-15,9,60.9
"3391",2014-04-15,10,62.1
"3717",2014-04-15,11,63.75
"4044",2014-04-15,12,68
"4370",2014-04-15,13,62.7333333333333
"4699",2014-04-15,14,62.35
"5027",2014-04-15,15,61.92
"5357",2014-04-15,16,61.9
"5685",2014-04-15,17,62.1
"6014",2014-04-15,18,60.5666666666667
"6343",2014-04-15,19,59
"6674",2014-04-15,20,61
"7005",2014-04-15,21,58.3333333333333
"7331",2014-04-15,22,51.8
"7656",2014-04-15,23,46.2666666666667
"106",2014-04-16,0,33.1
"435",2014-04-16,1,40.275
"765",2014-04-16,2,39.1
"1095",2014-04-16,3,36.3333333333333
"1425",2014-04-16,4,33.84
"1751",2014-04-16,5,34.2333333333333
"2078",2014-04-16,6,33.45
"2406",2014-04-16,7,30.9
"2734",2014-04-16,8,33.1
"3064",2014-04-16,9,35.1
"3392",2014-04-16,10,36
"3718",2014-04-16,11,37.9
"4045",2014-04-16,12,39.9
"4371",2014-04-16,13,42.1
"4700",2014-04-16,14,43
"5028",2014-04-16,15,44.1
"5358",2014-04-16,16,44.1
"5686",2014-04-16,17,43
"6015",2014-04-16,18,41
"6344",2014-04-16,19,39
"6675",2014-04-16,20,37.9
"7006",2014-04-16,21,36
"7332",2014-04-16,22,35.1
"7657",2014-04-16,23,34
"107",2014-04-17,0,35.1
"436",2014-04-17,1,32
"766",2014-04-17,2,32
"1096",2014-04-17,3,32
"1426",2014-04-17,4,32
"1752",2014-04-17,5,32
"2079",2014-04-17,6,33.1
"2407",2014-04-17,7,35.1
"2735",2014-04-17,8,36
"3065",2014-04-17,9,37
"3393",2014-04-17,10,37.9
"3719",2014-04-17,11,39
"4046",2014-04-17,12,39
"4372",2014-04-17,13,39
"4701",2014-04-17,14,39.9
"5029",2014-04-17,15,39
"5359",2014-04-17,16,37.9
"5687",2014-04-17,17,37
"6016",2014-04-17,18,37
"6345",2014-04-17,19,36
"6676",2014-04-17,20,35.1
"7007",2014-04-17,21,35.1
"7333",2014-04-17,22,34
"7658",2014-04-17,23,35.1
"108",2014-04-18,0,37.5666666666667
"437",2014-04-18,1,36
"767",2014-04-18,2,34
"1097",2014-04-18,3,33.1
"1427",2014-04-18,4,32
"1753",2014-04-18,5,31.45
"2080",2014-04-18,6,33.1
"2408",2014-04-18,7,36.4
"2736",2014-04-18,8,39.9
"3066",2014-04-18,9,39.9
"3394",2014-04-18,10,41
"3720",2014-04-18,11,41
"4047",2014-04-18,12,41
"4373",2014-04-18,13,41
"4702",2014-04-18,14,41
"5030",2014-04-18,15,41
"5360",2014-04-18,16,39.9
"5688",2014-04-18,17,39
"6017",2014-04-18,18,39
"6346",2014-04-18,19,37.65
"6677",2014-04-18,20,37.9
"7008",2014-04-18,21,37.65
"7334",2014-04-18,22,37.9
"7659",2014-04-18,23,37.9
"109",2014-04-19,0,45
"438",2014-04-19,1,37
"768",2014-04-19,2,37.9
"1098",2014-04-19,3,37.9
"1428",2014-04-19,4,39
"1754",2014-04-19,5,39
"2081",2014-04-19,6,41
"2409",2014-04-19,7,45
"2737",2014-04-19,8,50
"3067",2014-04-19,9,54
"3395",2014-04-19,10,57
"3721",2014-04-19,11,59
"4048",2014-04-19,12,60.1
"4374",2014-04-19,13,60.1
"4703",2014-04-19,14,62.1
"5031",2014-04-19,15,62.1
"5361",2014-04-19,16,62.1
"5689",2014-04-19,17,60.1
"6018",2014-04-19,18,57.9
"6347",2014-04-19,19,54
"6678",2014-04-19,20,51.1
"7009",2014-04-19,21,48
"7335",2014-04-19,22,48
"7660",2014-04-19,23,46
"110",2014-04-20,0,39.9
"439",2014-04-20,1,44.1
"769",2014-04-20,2,41
"1099",2014-04-20,3,41
"1429",2014-04-20,4,41
"1755",2014-04-20,5,41
"2082",2014-04-20,6,42.1
"2410",2014-04-20,7,44.1
"2738",2014-04-20,8,46
"3068",2014-04-20,9,46
"3396",2014-04-20,10,46
"3722",2014-04-20,11,46
"4049",2014-04-20,12,46.9
"4375",2014-04-20,13,46.9
"4704",2014-04-20,14,46.9
"5032",2014-04-20,15,46.9
"5362",2014-04-20,16,46
"5690",2014-04-20,17,44.1
"6019",2014-04-20,18,43
"6348",2014-04-20,19,42.1
"6679",2014-04-20,20,42.1
"7010",2014-04-20,21,42.1
"7336",2014-04-20,22,41
"7661",2014-04-20,23,39
"111",2014-04-21,0,50
"440",2014-04-21,1,39.9
"770",2014-04-21,2,37.9
"1100",2014-04-21,3,37.9
"1430",2014-04-21,4,37.9
"1756",2014-04-21,5,37
"2083",2014-04-21,6,39
"2411",2014-04-21,7,42.1
"2739",2014-04-21,8,48
"3069",2014-04-21,9,52
"3397",2014-04-21,10,55
"3723",2014-04-21,11,59
"4050",2014-04-21,12,55
"4376",2014-04-21,13,57.9
"4705",2014-04-21,14,63
"5033",2014-04-21,15,66.9
"5363",2014-04-21,16,68
"5691",2014-04-21,17,64.9
"6020",2014-04-21,18,62.1
"6349",2014-04-21,19,57.9
"6680",2014-04-21,20,55
"7011",2014-04-21,21,53.1
"7337",2014-04-21,22,52
"7662",2014-04-21,23,51.1
"112",2014-04-22,0,54
"441",2014-04-22,1,48.9
"771",2014-04-22,2,48.9
"1101",2014-04-22,3,48.9
"1431",2014-04-22,4,48.9
"1757",2014-04-22,5,46.9
"2084",2014-04-22,6,48
"2412",2014-04-22,7,51.1
"2740",2014-04-22,8,55.9
"3070",2014-04-22,9,62.1
"3398",2014-04-22,10,64.9
"3724",2014-04-22,11,69.1
"4051",2014-04-22,12,71.1
"4377",2014-04-22,13,71.1
"4706",2014-04-22,14,70
"5034",2014-04-22,15,68
"5364",2014-04-22,16,66.9
"5692",2014-04-22,17,63
"6021",2014-04-22,18,62.1
"6350",2014-04-22,19,60.1
"6681",2014-04-22,20,57
"7012",2014-04-22,21,55
"7338",2014-04-22,22,54
"7663",2014-04-22,23,54
"113",2014-04-23,0,46.9
"442",2014-04-23,1,53.1
"772",2014-04-23,2,54
"1102",2014-04-23,3,51.1
"1432",2014-04-23,4,51.1
"1758",2014-04-23,5,52
"2085",2014-04-23,6,55.9
"2413",2014-04-23,7,57
