"","Date","Hour","Temp"
"3998",2014-01-23,12,19.9
"4328",2014-01-23,13,21
"4659",2014-01-23,14,21.9
"4990",2014-01-23,15,21
"5323",2014-01-23,16,19.9
"5654",2014-01-23,17,18
"5987",2014-01-23,18,16
"6318",2014-01-23,19,15.1
"6652",2014-01-23,20,14
"6986",2014-01-23,21,14
"7317",2014-01-23,22,12.9
"7644",2014-01-23,23,12.9
"24",2014-01-24,0,12
"356",2014-01-24,1,12
"690",2014-01-24,2,10.9
"1022",2014-01-24,3,10
"1355",2014-01-24,4,9
"1684",2014-01-24,5,8.1
"2015",2014-01-24,6,8.1
"2346",2014-01-24,7,8.1
"2677",2014-01-24,8,9
"3009",2014-01-24,9,10
"3341",2014-01-24,10,10.9
"3670",2014-01-24,11,14
"3999",2014-01-24,12,16
"4329",2014-01-24,13,17.1
"4660",2014-01-24,14,18
"4991",2014-01-24,15,17.1
"5324",2014-01-24,16,16
"5655",2014-01-24,17,16
"5988",2014-01-24,18,16
"6319",2014-01-24,19,14
"6653",2014-01-24,20,15.1
"6987",2014-01-24,21,15.1
"7318",2014-01-24,22,15.1
"7645",2014-01-24,23,15.1
"25",2014-01-25,0,15.1
"357",2014-01-25,1,16
"691",2014-01-25,2,16
"1023",2014-01-25,3,17.1
"1356",2014-01-25,4,18
"1685",2014-01-25,5,19.9
"2016",2014-01-25,6,21
"2347",2014-01-25,7,21.9
"2678",2014-01-25,8,24.1
"3010",2014-01-25,9,28
"3342",2014-01-25,10,36
"3671",2014-01-25,11,37
"4000",2014-01-25,12,37
"4330",2014-01-25,13,37.9
"4661",2014-01-25,14,37
"4992",2014-01-25,15,37
"5325",2014-01-25,16,37
"5656",2014-01-25,17,36
"5989",2014-01-25,18,32
"6320",2014-01-25,19,30.375
"6654",2014-01-25,20,28.9
"6988",2014-01-25,21,28
"7319",2014-01-25,22,27
"7646",2014-01-25,23,26.1
"26",2014-01-26,0,25
"358",2014-01-26,1,24.1
"692",2014-01-26,2,24.1
"1024",2014-01-26,3,23
"1357",2014-01-26,4,21
"1686",2014-01-26,5,18
"2017",2014-01-26,6,17.1
"2348",2014-01-26,7,16
"2679",2014-01-26,8,16
"3011",2014-01-26,9,17.1
"3343",2014-01-26,10,17.1
"3672",2014-01-26,11,19
"4001",2014-01-26,12,19
"4331",2014-01-26,13,19.9
"4662",2014-01-26,14,19.9
"4993",2014-01-26,15,19.9
"5326",2014-01-26,16,19.9
"5657",2014-01-26,17,19.9
"5990",2014-01-26,18,19.9
"6321",2014-01-26,19,19.9
"6655",2014-01-26,20,19.9
"6989",2014-01-26,21,21
"7320",2014-01-26,22,21
"7647",2014-01-26,23,21.9
"27",2014-01-27,0,23
"359",2014-01-27,1,24.1
"693",2014-01-27,2,24.1
"1025",2014-01-27,3,24.1
"1358",2014-01-27,4,25
"1687",2014-01-27,5,27
"2018",2014-01-27,6,30.9
"2349",2014-01-27,7,37.9
"2680",2014-01-27,8,45
"3012",2014-01-27,9,46
"3344",2014-01-27,10,45
"3673",2014-01-27,11,45
"4002",2014-01-27,12,45
"4332",2014-01-27,13,45
"4663",2014-01-27,14,39
"4994",2014-01-27,15,37
"5327",2014-01-27,16,30.9
"5658",2014-01-27,17,28.9
"5991",2014-01-27,18,27
"6322",2014-01-27,19,26.1
"6656",2014-01-27,20,25
"6990",2014-01-27,21,24.1
"7321",2014-01-27,22,21.9
"7648",2014-01-27,23,21
"28",2014-01-28,0,19.9
"360",2014-01-28,1,19
"694",2014-01-28,2,18
"1026",2014-01-28,3,16
"1359",2014-01-28,4,14
"1688",2014-01-28,5,12.9
"2019",2014-01-28,6,12.9
"2350",2014-01-28,7,14
"2681",2014-01-28,8,15.1
"3013",2014-01-28,9,16
"3345",2014-01-28,10,17.1
"3674",2014-01-28,11,17.1
"4003",2014-01-28,12,18
"4333",2014-01-28,13,18
"4664",2014-01-28,14,19
"4995",2014-01-28,15,19
"5328",2014-01-28,16,19
"5659",2014-01-28,17,18
"5992",2014-01-28,18,18
"6323",2014-01-28,19,18
"6657",2014-01-28,20,18
"6991",2014-01-28,21,18
"7322",2014-01-28,22,18
"7649",2014-01-28,23,18
"29",2014-01-29,0,18
"361",2014-01-29,1,18
"695",2014-01-29,2,18
"1027",2014-01-29,3,18
"1360",2014-01-29,4,16
"1689",2014-01-29,5,15.1
"2020",2014-01-29,6,15.1
"2351",2014-01-29,7,16
"2682",2014-01-29,8,15.8666666666667
"3014",2014-01-29,9,17.1
"3346",2014-01-29,10,19.9
"3675",2014-01-29,11,21.9
"4004",2014-01-29,12,25
"4334",2014-01-29,13,26.1
"4665",2014-01-29,14,26.1
"4996",2014-01-29,15,26.1
"5329",2014-01-29,16,24.1
"5660",2014-01-29,17,24.1
"5993",2014-01-29,18,24.1
"6324",2014-01-29,19,23
"6658",2014-01-29,20,21.9
"6992",2014-01-29,21,21
"7323",2014-01-29,22,19.9
"7650",2014-01-29,23,19
"30",2014-01-30,0,19
"362",2014-01-30,1,18
"696",2014-01-30,2,18
"1028",2014-01-30,3,17.1
"1361",2014-01-30,4,17.1
"1690",2014-01-30,5,17.1
"2021",2014-01-30,6,17.1
"2352",2014-01-30,7,18
"2683",2014-01-30,8,19.9
"3015",2014-01-30,9,21.9
"3347",2014-01-30,10,25
"3676",2014-01-30,11,27
"4005",2014-01-30,12,28
"4335",2014-01-30,13,28.9
"4666",2014-01-30,14,30
"4997",2014-01-30,15,30
"5330",2014-01-30,16,27
"5661",2014-01-30,17,26.1
"5994",2014-01-30,18,24.1
"6325",2014-01-30,19,23
"6659",2014-01-30,20,21.9
"6993",2014-01-30,21,21.9
"7324",2014-01-30,22,21
"7651",2014-01-30,23,21.9
"31",2014-01-31,0,21.9
"363",2014-01-31,1,23
"697",2014-01-31,2,24.1
"1029",2014-01-31,3,24.9
"1362",2014-01-31,4,26.1
"1691",2014-01-31,5,27.3
"2022",2014-01-31,6,27
"2353",2014-01-31,7,30.9
"2684",2014-01-31,8,32
"3016",2014-01-31,9,34
"3348",2014-01-31,10,37
"3677",2014-01-31,11,37
"4006",2014-01-31,12,39
"4336",2014-01-31,13,42.1
"4667",2014-01-31,14,41
"4998",2014-01-31,15,41
"5331",2014-01-31,16,39
"5662",2014-01-31,17,39
"5995",2014-01-31,18,39
"6326",2014-01-31,19,39
"6660",2014-01-31,20,37.9
"6994",2014-01-31,21,37.9
"7325",2014-01-31,22,37.9
"7652",2014-01-31,23,37
"32",2014-02-01,0,37
"364",2014-02-01,1,36
"698",2014-02-01,2,36
"1030",2014-02-01,3,36
"1363",2014-02-01,4,35.1
"1692",2014-02-01,5,35.1
"2023",2014-02-01,6,35.1
"2354",2014-02-01,7,36
"2685",2014-02-01,8,37.9
"3017",2014-02-01,9,41
"3349",2014-02-01,10,39
"3678",2014-02-01,11,41
"4007",2014-02-01,12,42.1
"4337",2014-02-01,13,39
"4668",2014-02-01,14,37.9
"4999",2014-02-01,15,37
"5332",2014-02-01,16,41
"5663",2014-02-01,17,39
"5996",2014-02-01,18,37
"6327",2014-02-01,19,36
"6661",2014-02-01,20,33.1
"6995",2014-02-01,21,35.1
"7326",2014-02-01,22,34
"7653",2014-02-01,23,33.1
"33",2014-02-02,0,32
"365",2014-02-02,1,33.45
"699",2014-02-02,2,32
"1031",2014-02-02,3,33
"1364",2014-02-02,4,34
"1693",2014-02-02,5,33.9
"2024",2014-02-02,6,33.1
"2355",2014-02-02,7,35.1
"2686",2014-02-02,8,41
"3018",2014-02-02,9,45
"3350",2014-02-02,10,50
"3679",2014-02-02,11,52
"4008",2014-02-02,12,55
"4338",2014-02-02,13,53.1
"4669",2014-02-02,14,50
"5000",2014-02-02,15,46.9
"5333",2014-02-02,16,46
"5664",2014-02-02,17,46
"5997",2014-02-02,18,45
"6328",2014-02-02,19,44.1
"6662",2014-02-02,20,43
"6996",2014-02-02,21,42.1
"7327",2014-02-02,22,42.1
"7654",2014-02-02,23,41
"34",2014-02-03,0,39.9
"366",2014-02-03,1,39.9
"700",2014-02-03,2,39
"1032",2014-02-03,3,37.9
"1365",2014-02-03,4,37
"1694",2014-02-03,5,36
"2025",2014-02-03,6,35.1
"2356",2014-02-03,7,34
"2687",2014-02-03,8,35.1
"3019",2014-02-03,9,35.1
"3351",2014-02-03,10,33.35
"3680",2014-02-03,11,30.4333333333333
"4009",2014-02-03,12,30.9
"4339",2014-02-03,13,30.1
"4670",2014-02-03,14,30.1333333333333
"5001",2014-02-03,15,30.15
"5334",2014-02-03,16,30.15
"5665",2014-02-03,17,30.1333333333333
"5998",2014-02-03,18,28.65
"6329",2014-02-03,19,30
"6663",2014-02-03,20,30
"6997",2014-02-03,21,28.9
"7328",2014-02-03,22,28
"7655",2014-02-03,23,27
"35",2014-02-04,0,27
"367",2014-02-04,1,26.1
"701",2014-02-04,2,26.1
"1033",2014-02-04,3,25
"1366",2014-02-04,4,24.1
"1695",2014-02-04,5,23
"2026",2014-02-04,6,24.1
"2357",2014-02-04,7,24.1
"2688",2014-02-04,8,27
"3020",2014-02-04,9,28.9
"3352",2014-02-04,10,30.9
"3681",2014-02-04,11,33.1
"4010",2014-02-04,12,33.1
"4340",2014-02-04,13,32
"4671",2014-02-04,14,34
"5002",2014-02-04,15,34
"5335",2014-02-04,16,33.1
"5666",2014-02-04,17,33.1
"5999",2014-02-04,18,30.9
"6330",2014-02-04,19,30.9
"6664",2014-02-04,20,30.9
"6998",2014-02-04,21,30.9
"7329",2014-02-04,22,30
"7656",2014-02-04,23,28.9
"36",2014-02-05,0,28.9
"368",2014-02-05,1,28.9
"702",2014-02-05,2,30
"1034",2014-02-05,3,30
"1367",2014-02-05,4,30.9
"1696",2014-02-05,5,29.875
"2027",2014-02-05,6,28.5666666666667
"2358",2014-02-05,7,28.525
"2689",2014-02-05,8,29.2
"3021",2014-02-05,9,29.62
"3353",2014-02-05,10,32
"3682",2014-02-05,11,32
"4011",2014-02-05,12,33.1
"4341",2014-02-05,13,33.175
"4672",2014-02-05,14,33.45
"5003",2014-02-05,15,33.5666666666667
"5336",2014-02-05,16,32
"5667",2014-02-05,17,27
"6000",2014-02-05,18,26.4333333333333
"6331",2014-02-05,19,26.4333333333333
"6665",2014-02-05,20,25
"6999",2014-02-05,21,24.8666666666667
"7330",2014-02-05,22,24.1
"7657",2014-02-05,23,24.1
"37",2014-02-06,0,23
"369",2014-02-06,1,23
"703",2014-02-06,2,21.9
"1035",2014-02-06,3,23
"1368",2014-02-06,4,23
"1697",2014-02-06,5,21.9
"2028",2014-02-06,6,20.55
"2359",2014-02-06,7,19
"2690",2014-02-06,8,19
"3022",2014-02-06,9,19.9
"3354",2014-02-06,10,21
"3683",2014-02-06,11,21.9
"4012",2014-02-06,12,25
"4342",2014-02-06,13,26.1
"4673",2014-02-06,14,27
"5004",2014-02-06,15,27
"5337",2014-02-06,16,25
"5668",2014-02-06,17,24.1
"6001",2014-02-06,18,25
"6332",2014-02-06,19,23
"6666",2014-02-06,20,23
"7000",2014-02-06,21,21.9
"7331",2014-02-06,22,24.1
"7658",2014-02-06,23,23
"38",2014-02-07,0,21.9
"370",2014-02-07,1,21
"704",2014-02-07,2,21
"1036",2014-02-07,3,19.9
"1369",2014-02-07,4,21
"1698",2014-02-07,5,21
"2029",2014-02-07,6,21
"2360",2014-02-07,7,21.9
"2691",2014-02-07,8,23
"3023",2014-02-07,9,24.1
"3355",2014-02-07,10,26.1
"3684",2014-02-07,11,27
"4013",2014-02-07,12,28
"4343",2014-02-07,13,28.9
"4674",2014-02-07,14,30
"5005",2014-02-07,15,28.9
"5338",2014-02-07,16,28.9
"5669",2014-02-07,17,28
"6002",2014-02-07,18,27
"6333",2014-02-07,19,28
"6667",2014-02-07,20,28
"7001",2014-02-07,21,27
"7332",2014-02-07,22,26.1
"7659",2014-02-07,23,25
"39",2014-02-08,0,26.1
"371",2014-02-08,1,24.1
"705",2014-02-08,2,23
"1037",2014-02-08,3,21
"1370",2014-02-08,4,19.9
"1699",2014-02-08,5,19
"2030",2014-02-08,6,18
"2361",2014-02-08,7,19
"2692",2014-02-08,8,19
"3024",2014-02-08,9,21.9
"3356",2014-02-08,10,24.1
"3685",2014-02-08,11,25
"4014",2014-02-08,12,27
"4344",2014-02-08,13,28
"4675",2014-02-08,14,28
"5006",2014-02-08,15,28
"5339",2014-02-08,16,28
"5670",2014-02-08,17,28
"6003",2014-02-08,18,28
"6334",2014-02-08,19,28
"6668",2014-02-08,20,28
"7002",2014-02-08,21,28
"7333",2014-02-08,22,27
"7660",2014-02-08,23,26.1
"40",2014-02-09,0,26.1
"372",2014-02-09,1,25
"706",2014-02-09,2,25
"1038",2014-02-09,3,24.1
"1371",2014-02-09,4,23
"1700",2014-02-09,5,23
"2031",2014-02-09,6,21.55
"2362",2014-02-09,7,21
"2693",2014-02-09,8,21.9
"3025",2014-02-09,9,23.55
"3357",2014-02-09,10,26.1
"3686",2014-02-09,11,28
"4015",2014-02-09,12,28.5666666666667
"4345",2014-02-09,13,28.6
"4676",2014-02-09,14,26.8
"5007",2014-02-09,15,27
"5340",2014-02-09,16,27
"5671",2014-02-09,17,27
"6004",2014-02-09,18,27.3
"6335",2014-02-09,19,27.8285714285714
"6669",2014-02-09,20,28.2666666666667
"7003",2014-02-09,21,26.7333333333333
"7334",2014-02-09,22,26.7333333333333
"7661",2014-02-09,23,25.75
"41",2014-02-10,0,24.84
"373",2014-02-10,1,24.45
"707",2014-02-10,2,24.1
"1039",2014-02-10,3,23
"1372",2014-02-10,4,21.9
"1701",2014-02-10,5,21.9
"2032",2014-02-10,6,21.9
"2363",2014-02-10,7,23
"2694",2014-02-10,8,23
"3026",2014-02-10,9,25
"3358",2014-02-10,10,27
"3687",2014-02-10,11,27
"4016",2014-02-10,12,27
"4346",2014-02-10,13,28.9
"4677",2014-02-10,14,28.9
"5008",2014-02-10,15,27
"5341",2014-02-10,16,26.1
"5672",2014-02-10,17,25
"6005",2014-02-10,18,24.1
"6336",2014-02-10,19,23
"6670",2014-02-10,20,21.9
"7004",2014-02-10,21,21
"7335",2014-02-10,22,19.9
"7662",2014-02-10,23,19.9
"42",2014-02-11,0,19
"374",2014-02-11,1,18
"708",2014-02-11,2,18
"1040",2014-02-11,3,16
"1373",2014-02-11,4,16
"1702",2014-02-11,5,15.1
"2033",2014-02-11,6,15.1
"2364",2014-02-11,7,16
"2695",2014-02-11,8,19
"3027",2014-02-11,9,19.9
"3359",2014-02-11,10,21.9
"3688",2014-02-11,11,23
"4017",2014-02-11,12,24.1
"4347",2014-02-11,13,25
"4678",2014-02-11,14,25
"5009",2014-02-11,15,25
"5342",2014-02-11,16,24.1
"5673",2014-02-11,17,21.9
"6006",2014-02-11,18,21
"6337",2014-02-11,19,19.9
"6671",2014-02-11,20,19
"7005",2014-02-11,21,19
"7336",2014-02-11,22,17.1
"7663",2014-02-11,23,14
"43",2014-02-12,0,12.9
"375",2014-02-12,1,10.9
"709",2014-02-12,2,10
"1041",2014-02-12,3,9
"1374",2014-02-12,4,9
"1703",2014-02-12,5,8.1
"2034",2014-02-12,6,8.1
"2365",2014-02-12,7,10
"2696",2014-02-12,8,14
"3028",2014-02-12,9,18
"3360",2014-02-12,10,21
"3689",2014-02-12,11,23
"4018",2014-02-12,12,21
"4348",2014-02-12,13,21.9
"4679",2014-02-12,14,23
"5010",2014-02-12,15,23
"5343",2014-02-12,16,23
"5674",2014-02-12,17,21.9
"6007",2014-02-12,18,21.9
"6338",2014-02-12,19,21.9
"6672",2014-02-12,20,21.9
"7006",2014-02-12,21,21
"7337",2014-02-12,22,21.9
"7664",2014-02-12,23,21.9
"44",2014-02-13,0,22.1
"376",2014-02-13,1,24.45
"710",2014-02-13,2,26.1
"1042",2014-02-13,3,28
"1375",2014-02-13,4,30
"1704",2014-02-13,5,30.55
"2035",2014-02-13,6,30.55
"2366",2014-02-13,7,31.7666666666667
"2697",2014-02-13,8,33.85
"3029",2014-02-13,9,33.6833333333333
"3361",2014-02-13,10,33.8666666666667
"3690",2014-02-13,11,34.9
"4019",2014-02-13,12,34.8
"4349",2014-02-13,13,33.625
"4680",2014-02-13,14,33.45
"5011",2014-02-13,15,33.45
"5344",2014-02-13,16,33.9
"5675",2014-02-13,17,34.45
"6008",2014-02-13,18,34
"6339",2014-02-13,19,35.1
"6673",2014-02-13,20,34
"7007",2014-02-13,21,35.35
"7338",2014-02-13,22,34
"7665",2014-02-13,23,33.85
"45",2014-02-14,0,33.8333333333333
"377",2014-02-14,1,34.8333333333333
"711",2014-02-14,2,34
"1043",2014-02-14,3,34
"1376",2014-02-14,4,33.1
"1705",2014-02-14,5,33.45
"2036",2014-02-14,6,33.84
"2367",2014-02-14,7,34.45
"2698",2014-02-14,8,34
"3030",2014-02-14,9,30.7333333333333
"3362",2014-02-14,10,30.34
"3691",2014-02-14,11,33.1
"4020",2014-02-14,12,33.1
"4350",2014-02-14,13,34
"4681",2014-02-14,14,35.1
"5012",2014-02-14,15,36
"5345",2014-02-14,16,36
"5676",2014-02-14,17,35.1
"6009",2014-02-14,18,35.1
"6340",2014-02-14,19,34
"6674",2014-02-14,20,34
"7008",2014-02-14,21,33.1
"7339",2014-02-14,22,33.1
"7666",2014-02-14,23,32
"46",2014-02-15,0,32
"378",2014-02-15,1,32
"712",2014-02-15,2,28.9
"1044",2014-02-15,3,30.9
"1377",2014-02-15,4,28.9
"1706",2014-02-15,5,28.9
"2037",2014-02-15,6,28.9
"2368",2014-02-15,7,30
"2699",2014-02-15,8,30.9
"3031",2014-02-15,9,34
"3363",2014-02-15,10,34
"3692",2014-02-15,11,34
"4021",2014-02-15,12,33.1
"4351",2014-02-15,13,32.72
"4682",2014-02-15,14,31.4
"5013",2014-02-15,15,30.9
"5346",2014-02-15,16,30.9
"5677",2014-02-15,17,30.9
"6010",2014-02-15,18,30.9
"6341",2014-02-15,19,30.9
"6675",2014-02-15,20,30.9
"7009",2014-02-15,21,30.9
"7340",2014-02-15,22,30
"7667",2014-02-15,23,30
"47",2014-02-16,0,30.1
"379",2014-02-16,1,29.55
"713",2014-02-16,2,28.2
"1045",2014-02-16,3,25
"1378",2014-02-16,4,24.1
"1707",2014-02-16,5,23
"2038",2014-02-16,6,23
"2369",2014-02-16,7,23
"2700",2014-02-16,8,25
"3032",2014-02-16,9,27
"3364",2014-02-16,10,28
"3693",2014-02-16,11,28.9
"4022",2014-02-16,12,30.9
"4352",2014-02-16,13,30.9
"4683",2014-02-16,14,30.9
"5014",2014-02-16,15,32
"5347",2014-02-16,16,30.9
"5678",2014-02-16,17,30
"6011",2014-02-16,18,28
"6342",2014-02-16,19,27
"6676",2014-02-16,20,26.1
"7010",2014-02-16,21,25
"7341",2014-02-16,22,24.1
"7668",2014-02-16,23,23
"48",2014-02-17,0,21
"380",2014-02-17,1,19
"714",2014-02-17,2,18
"1046",2014-02-17,3,17.1
"1379",2014-02-17,4,16
"1708",2014-02-17,5,15.1
"2039",2014-02-17,6,14
"2370",2014-02-17,7,16
"2701",2014-02-17,8,17.1
"3033",2014-02-17,9,19.9
"3365",2014-02-17,10,23
"3694",2014-02-17,11,25
"4023",2014-02-17,12,27
"4353",2014-02-17,13,28
"4684",2014-02-17,14,28.9
"5015",2014-02-17,15,28.9
"5348",2014-02-17,16,27
"5679",2014-02-17,17,25
"6012",2014-02-17,18,24.1
"6343",2014-02-17,19,21.9
"6677",2014-02-17,20,21
"7011",2014-02-17,21,19.9
"7342",2014-02-17,22,18
"7669",2014-02-17,23,19
"49",2014-02-18,0,19
"381",2014-02-18,1,18
"715",2014-02-18,2,15.1
"1047",2014-02-18,3,17.1
"1380",2014-02-18,4,16
"1709",2014-02-18,5,18
"2040",2014-02-18,6,19
"2371",2014-02-18,7,19
"2702",2014-02-18,8,21
"3034",2014-02-18,9,26.1
"3366",2014-02-18,10,30
"3695",2014-02-18,11,30.4333333333333
"4024",2014-02-18,12,30.1333333333333
"4354",2014-02-18,13,30.4333333333333
"4685",2014-02-18,14,32
"5016",2014-02-18,15,33.45
"5349",2014-02-18,16,33.5666666666667
"5680",2014-02-18,17,33.2
"6013",2014-02-18,18,31.06
"6344",2014-02-18,19,29.55
"6678",2014-02-18,20,28.2
"7012",2014-02-18,21,26.8
"7343",2014-02-18,22,26.7333333333333
"7670",2014-02-18,23,27
"50",2014-02-19,0,26.1
"382",2014-02-19,1,26.1
"716",2014-02-19,2,26.1
"1048",2014-02-19,3,27
"1381",2014-02-19,4,26.1
"1710",2014-02-19,5,24.1
"2041",2014-02-19,6,23
"2372",2014-02-19,7,24.1
"2703",2014-02-19,8,26.1
"3035",2014-02-19,9,28.9
"3367",2014-02-19,10,32
"3696",2014-02-19,11,33.1
"4025",2014-02-19,12,34
"4355",2014-02-19,13,34
"4686",2014-02-19,14,34
"5017",2014-02-19,15,33.84
"5350",2014-02-19,16,33.9
"5681",2014-02-19,17,33.9
"6014",2014-02-19,18,35.35
"6345",2014-02-19,19,33.8666666666667
"6679",2014-02-19,20,33.45
"7013",2014-02-19,21,33.45
"7344",2014-02-19,22,33.45
"7671",2014-02-19,23,33.1
"51",2014-02-20,0,33.9
"383",2014-02-20,1,35.1
"717",2014-02-20,2,37
"1049",2014-02-20,3,37
"1382",2014-02-20,4,34
"1711",2014-02-20,5,34
"2042",2014-02-20,6,36
"2373",2014-02-20,7,37.9
