"","Day","Hour","Temp","KWH"
"244","12/11/2014",3,37.94,"Optimal"
"245","12/11/2014",4,37.04,"Optimal"
"246","12/11/2014",5,35.96,"Optimal"
"247","12/11/2014",6,35.06,"Optimal"
"248","12/11/2014",7,35.33,"Optimal"
"249","12/11/2014",8,35.33,"Optimal"
"250","12/11/2014",9,34.43,"Optimal"
"251","12/11/2014",10,33.98,"Above_Normal"
"252","12/11/2014",11,33.89,"Above_Normal"
"253","12/11/2014",12,33.656,"Above_Normal"
"254","12/11/2014",13,33.86,"Above_Normal"
"255","12/11/2014",14,33.86,"Above_Normal"
"256","12/11/2014",15,33.98,"Above_Normal"
"257","12/11/2014",16,33.89,"Above_Normal"
"258","12/11/2014",17,33.98,"Above_Normal"
"259","12/11/2014",18,33.08,"Above_Normal"
"260","12/11/2014",19,33.08,"Above_Normal"
"261","12/11/2014",20,32,"Above_Normal"
"262","12/11/2014",21,32,"Above_Normal"
"263","12/11/2014",22,32,"Above_Normal"
"264","12/11/2014",23,32,"Above_Normal"
"265","12/12/2014",0,32,"Optimal"
"266","12/12/2014",1,30.92,"Optimal"
"267","12/12/2014",2,30.92,"Optimal"
"268","12/12/2014",3,30.92,"Optimal"
"269","12/12/2014",4,30.92,"Optimal"
"270","12/12/2014",5,32,"Optimal"
"271","12/12/2014",6,32,"Optimal"
"272","12/12/2014",7,32,"Optimal"
"273","12/12/2014",8,33.98,"Optimal"
"274","12/12/2014",9,35.06,"Optimal"
"275","12/12/2014",10,36.32,"Above_Normal"
"276","12/12/2014",11,35.96,"Above_Normal"
"277","12/12/2014",12,37.04,"Above_Normal"
"278","12/12/2014",13,37.67,"Above_Normal"
"279","12/12/2014",14,37.94,"Above_Normal"
"280","12/12/2014",15,37.94,"Above_Normal"
"281","12/12/2014",16,37.04,"Above_Normal"
"282","12/12/2014",17,35.96,"Above_Normal"
"283","12/12/2014",18,36.68,"Above_Normal"
"284","12/12/2014",19,35.33,"Above_Normal"
"285","12/12/2014",20,33.98,"Above_Normal"
"286","12/12/2014",21,33.98,"Above_Normal"
"287","12/12/2014",22,33.98,"Above_Normal"
"288","12/12/2014",23,33.08,"Above_Normal"
"289","12/13/2014",0,33.08,"Optimal"
"290","12/13/2014",1,33.08,"Optimal"
"291","12/13/2014",2,33.08,"Optimal"
"292","12/13/2014",3,32,"Optimal"
"293","12/13/2014",4,32,"Optimal"
"294","12/13/2014",5,32,"Optimal"
"295","12/13/2014",6,32,"Optimal"
"296","12/13/2014",7,33.08,"Optimal"
"297","12/13/2014",8,33.8,"Optimal"
"298","12/13/2014",9,35.06,"Optimal"
"299","12/13/2014",10,35.96,"Above_Normal"
"300","12/13/2014",11,37.94,"Above_Normal"
"301","12/13/2014",12,39.92,"Above_Normal"
"302","12/13/2014",13,41,"Above_Normal"
"303","12/13/2014",14,41,"Above_Normal"
"304","12/13/2014",15,39.92,"Above_Normal"
"305","12/13/2014",16,39.02,"Above_Normal"
"306","12/13/2014",17,39.02,"Above_Normal"
"307","12/13/2014",18,37.94,"Above_Normal"
"308","12/13/2014",19,37.04,"Above_Normal"
"309","12/13/2014",20,35.96,"Above_Normal"
"310","12/13/2014",21,33.98,"Above_Normal"
"311","12/13/2014",22,33.98,"Above_Normal"
"312","12/13/2014",23,33.08,"Above_Normal"
"313","12/14/2014",0,33.98,"Optimal"
"314","12/14/2014",1,33.98,"Optimal"
"315","12/14/2014",2,33.98,"Optimal"
"316","12/14/2014",3,33.98,"Optimal"
"317","12/14/2014",4,33.08,"Optimal"
"318","12/14/2014",5,33.98,"Optimal"
"319","12/14/2014",6,33.98,"Optimal"
"320","12/14/2014",7,33.98,"Optimal"
"321","12/14/2014",8,35.42,"Optimal"
"322","12/14/2014",9,37.04,"Optimal"
"323","12/14/2014",10,39.02,"Above_Normal"
"324","12/14/2014",11,41,"Above_Normal"
"325","12/14/2014",12,42.98,"Above_Normal"
"326","12/14/2014",13,44.06,"Above_Normal"
"327","12/14/2014",14,44.06,"Above_Normal"
"328","12/14/2014",15,42.98,"Above_Normal"
"329","12/14/2014",16,41,"Above_Normal"
"330","12/14/2014",17,39.92,"Above_Normal"
"331","12/14/2014",18,37.94,"Above_Normal"
"332","12/14/2014",19,37.04,"Above_Normal"
"333","12/14/2014",20,35.06,"Above_Normal"
"334","12/14/2014",21,35.06,"Above_Normal"
"335","12/14/2014",22,33.98,"Above_Normal"
"336","12/14/2014",23,33.98,"Above_Normal"
"337","12/15/2014",0,33.98,"Optimal"
"338","12/15/2014",1,33.08,"Optimal"
"339","12/15/2014",2,33.08,"Optimal"
"340","12/15/2014",3,33.08,"Optimal"
"341","12/15/2014",4,33.08,"Optimal"
"342","12/15/2014",5,33.08,"Optimal"
"343","12/15/2014",6,32,"Optimal"
"344","12/15/2014",7,33.98,"Optimal"
"345","12/15/2014",8,35.06,"Optimal"
"346","12/15/2014",9,37.04,"Optimal"
"347","12/15/2014",10,39.02,"Above_Normal"
"348","12/15/2014",11,41,"Above_Normal"
"349","12/15/2014",12,39.92,"Above_Normal"
"350","12/15/2014",13,39.92,"Above_Normal"
"351","12/15/2014",14,39.02,"Above_Normal"
"352","12/15/2014",15,37.94,"Above_Normal"
"353","12/15/2014",16,37.04,"Above_Normal"
"354","12/15/2014",17,39.02,"Above_Normal"
"355","12/15/2014",18,37.04,"Above_Normal"
"356","12/15/2014",19,37.94,"Above_Normal"
"357","12/15/2014",20,35.96,"Above_Normal"
"358","12/15/2014",21,35.96,"Above_Normal"
"359","12/15/2014",22,36.32,"Above_Normal"
"360","12/15/2014",23,37.94,"Above_Normal"
"361","12/16/2014",0,35.96,"Optimal"
"362","12/16/2014",1,35.06,"Optimal"
"363","12/16/2014",2,35.06,"Optimal"
"364","12/16/2014",3,35.06,"Optimal"
"365","12/16/2014",4,35.96,"Optimal"
"366","12/16/2014",5,37.04,"Optimal"
"367","12/16/2014",6,37.94,"Optimal"
"368","12/16/2014",7,39.02,"Optimal"
"369","12/16/2014",8,39.02,"Optimal"
"370","12/16/2014",9,39.92,"Optimal"
"371","12/16/2014",10,41,"Above_Normal"
"372","12/16/2014",11,39.92,"Above_Normal"
"373","12/16/2014",12,39.92,"Above_Normal"
"374","12/16/2014",13,39.92,"Above_Normal"
"375","12/16/2014",14,39.92,"Above_Normal"
"376","12/16/2014",15,39.92,"Above_Normal"
"377","12/16/2014",16,41,"Above_Normal"
"378","12/16/2014",17,41.54,"Above_Normal"
"379","12/16/2014",18,42.08,"Above_Normal"
"380","12/16/2014",19,42.98,"Above_Normal"
"381","12/16/2014",20,43.43,"Above_Normal"
"382","12/16/2014",21,44.06,"Above_Normal"
"383","12/16/2014",22,44.06,"Above_Normal"
"384","12/16/2014",23,42.98,"Above_Normal"
"385","12/17/2014",0,43.46,"Optimal"
"386","12/17/2014",1,44.06,"Optimal"
"387","12/17/2014",2,44.96,"Optimal"
"388","12/17/2014",3,46.04,"Optimal"
"389","12/17/2014",4,46.94,"Optimal"
"390","12/17/2014",5,44.96,"Optimal"
