Day,Hour,Temp
12/21/2014,17,33.89
12/21/2014,18,33.98
12/21/2014,19,33.98
12/21/2014,20,33.98
12/21/2014,21,33.98
12/21/2014,22,33.98
12/21/2014,23,33.98
12/22/2014,0,33.08
12/22/2014,1,33.08
12/22/2014,2,33.08
12/22/2014,3,33.08
12/22/2014,4,33.08
12/22/2014,5,33.08
12/22/2014,6,33.56
12/22/2014,7,33.98
12/22/2014,8,35.06
12/22/2014,9,37.94
12/22/2014,10,39.92
12/22/2014,11,42.08
12/22/2014,12,44.06
12/22/2014,13,43.46
12/22/2014,14,42.44
12/22/2014,15,41.9
12/22/2014,16,41
12/22/2014,17,41
12/22/2014,18,40.1
12/22/2014,19,42.56
12/22/2014,20,41
12/22/2014,21,42.08
12/22/2014,22,42.08
12/22/2014,23,42.08
12/23/2014,0,42.89
12/23/2014,1,42.89
12/23/2014,2,42.86
12/23/2014,3,42.86
12/23/2014,4,43.43
12/23/2014,5,42.98
12/23/2014,6,42.845
12/23/2014,7,44.06
12/23/2014,8,44.06
12/23/2014,9,44.96
12/23/2014,10,44.06
12/23/2014,11,44.96
12/23/2014,12,44.96
12/23/2014,13,44.72
12/23/2014,14,44.96
12/23/2014,15,44.96
12/23/2014,16,45.68
12/23/2014,17,46.04
12/23/2014,18,46.04
12/23/2014,19,46.04
12/23/2014,20,46.04
12/23/2014,21,42.98
12/23/2014,22,42.98
12/23/2014,23,42.08
12/24/2014,0,42.08
12/24/2014,1,42.08
12/24/2014,2,42.08
12/24/2014,3,42.08
12/24/2014,4,41
12/24/2014,5,41
12/24/2014,6,41
12/24/2014,7,42.08
12/24/2014,8,42.08
12/24/2014,9,42.98
12/24/2014,10,44.96
12/24/2014,11,44.96
12/24/2014,12,44.96
12/24/2014,13,44.96
12/24/2014,14,44.96
12/24/2014,15,44.96
12/24/2014,16,46.04
12/24/2014,17,44.78
12/24/2014,18,46.22
12/24/2014,19,46.04
12/24/2014,20,44.78
12/24/2014,21,44.78
12/24/2014,22,46.04
12/24/2014,23,44.96
12/25/2014,0,44.78
12/25/2014,1,44.72
12/25/2014,2,46.94
12/25/2014,3,57.92
12/25/2014,4,58.46
12/25/2014,5,57.56
12/25/2014,6,57.56
12/25/2014,7,55.67
12/25/2014,8,57.02
12/25/2014,9,53.96
12/25/2014,10,51.98
12/25/2014,11,50
12/25/2014,12,51.08
12/25/2014,13,51.08
12/25/2014,14,50
12/25/2014,15,48.02
12/25/2014,16,46.94
12/25/2014,17,46.94
12/25/2014,18,46.94
12/25/2014,19,46.04
12/25/2014,20,46.04
12/25/2014,21,44.96
12/25/2014,22,44.96
12/25/2014,23,44.06
12/26/2014,0,42.98
12/26/2014,1,42.08
12/26/2014,2,42.08
12/26/2014,3,39.92
12/26/2014,4,41
12/26/2014,5,37.94
12/26/2014,6,37.94
12/26/2014,7,39.02
12/26/2014,8,42.98
12/26/2014,9,44.96
12/26/2014,10,46.04
12/26/2014,11,46.94
12/26/2014,12,48.02
12/26/2014,13,48.92
12/26/2014,14,48.92
12/26/2014,15,48.02
12/26/2014,16,48.02
12/26/2014,17,46.04
12/26/2014,18,44.96
12/26/2014,19,44.06
12/26/2014,20,42.98
12/26/2014,21,42.98
12/26/2014,22,42.08
12/26/2014,23,41
12/27/2014,0,39.92
12/27/2014,1,39.92
12/27/2014,2,41
12/27/2014,3,41
12/27/2014,4,39.92
12/27/2014,5,41
12/27/2014,6,39.92
12/27/2014,7,41
12/27/2014,8,42.98
12/27/2014,9,44.96
12/27/2014,10,48.02
12/27/2014,11,50
12/27/2014,12,51.98
12/27/2014,13,51.8
12/27/2014,14,51.98
12/27/2014,15,50
12/27/2014,16,48.02
12/27/2014,17,46.94
12/27/2014,18,46.04
12/27/2014,19,44.96
12/27/2014,20,44.06
12/27/2014,21,42.98
12/27/2014,22,44.06
12/27/2014,23,42.98
12/28/2014,0,44.96
12/28/2014,1,44.96
12/28/2014,2,44.96
12/28/2014,3,44.96
12/28/2014,4,44.96
12/28/2014,5,44.96
12/28/2014,6,44.96
12/28/2014,7,46.04
12/28/2014,8,46.04
12/28/2014,9,46.94
12/28/2014,10,48.02
12/28/2014,11,48.92
12/28/2014,12,50
12/28/2014,13,51.08
12/28/2014,14,51.98
12/28/2014,15,48.92
12/28/2014,16,46.94
12/28/2014,17,46.94
12/28/2014,18,46.04
12/28/2014,19,44.96
12/28/2014,20,44.06
12/28/2014,21,42.08
12/28/2014,22,41
12/28/2014,23,39.92
12/29/2014,0,39.02
12/29/2014,1,37.94
12/29/2014,2,37.04
12/29/2014,3,35.96
12/29/2014,4,35.96
12/29/2014,5,35.96
12/29/2014,6,35.06
12/29/2014,7,35.06
12/29/2014,8,35.06
12/29/2014,9,39.02
12/29/2014,10,39.92
12/29/2014,11,41
12/29/2014,12,39.92
12/29/2014,13,41
12/29/2014,14,39.92
12/29/2014,15,39.92
12/29/2014,16,39.02
12/29/2014,17,37.94
12/29/2014,18,35.06
12/29/2014,19,33.08
12/29/2014,20,32
12/29/2014,21,30.92
12/29/2014,22,30.92
12/29/2014,23,30.02
12/30/2014,0,28.04
12/30/2014,1,26.96
12/30/2014,2,24.98
12/30/2014,3,24.08
12/30/2014,4,24.08
12/30/2014,5,23
12/30/2014,6,23
12/30/2014,7,23
12/30/2014,8,24.08
12/30/2014,9,24.98
12/30/2014,10,26.06
12/30/2014,11,26.96
12/30/2014,12,28.04
12/30/2014,13,28.94
12/30/2014,14,30.02
12/30/2014,15,28.94
12/30/2014,16,28.04
12/30/2014,17,26.96
12/30/2014,18,26.06
12/30/2014,19,24.98
12/30/2014,20,24.98
12/30/2014,21,24.08
12/30/2014,22,23
12/30/2014,23,21.92
12/31/2014,0,21.02
12/31/2014,1,19.94
12/31/2014,2,19.94
12/31/2014,3,19.94
12/31/2014,4,19.94
12/31/2014,5,19.94
12/31/2014,6,19.94
12/31/2014,7,21.02
12/31/2014,8,24.08
12/31/2014,9,26.06
12/31/2014,10,28.04
12/31/2014,11,28.94
12/31/2014,12,28.94
12/31/2014,13,28.94
12/31/2014,14,28.94
12/31/2014,15,28.04
12/31/2014,16,26.96
12/31/2014,17,26.06
12/31/2014,18,26.06
12/31/2014,19,24.98
12/31/2014,20,24.98
12/31/2014,21,23
12/31/2014,22,21.92
12/31/2014,23,21.92
