"Date","month","day","year","hour","DayOfWeek","Weekday","PeakHour","Temperature"
"12/8/2014",12,8,2014,21,1,1,0,24.89
"12/8/2014",12,8,2014,22,1,1,0,25.43
"12/8/2014",12,8,2014,23,1,1,0,27.635
"12/9/2014",12,9,2014,0,2,1,0,30.32
"12/9/2014",12,9,2014,1,2,1,0,32.66
"12/9/2014",12,9,2014,2,2,1,0,39.2
"12/9/2014",12,9,2014,3,2,1,0,42.08
"12/9/2014",12,9,2014,4,2,1,0,37.04
"12/9/2014",12,9,2014,5,2,1,0,37.4
"12/9/2014",12,9,2014,6,2,1,1,42.89
"12/9/2014",12,9,2014,7,2,1,1,42.98
"12/9/2014",12,9,2014,8,2,1,1,44.06
"12/9/2014",12,9,2014,9,2,1,1,44.96
"12/9/2014",12,9,2014,10,2,1,1,44.78
"12/9/2014",12,9,2014,11,2,1,1,44.96
"12/9/2014",12,9,2014,12,2,1,1,46.28
"12/9/2014",12,9,2014,13,2,1,1,46.94
"12/9/2014",12,9,2014,14,2,1,1,46.94
"12/9/2014",12,9,2014,15,2,1,1,46.58
"12/9/2014",12,9,2014,16,2,1,1,48.02
"12/9/2014",12,9,2014,17,2,1,1,48.14
"12/9/2014",12,9,2014,18,2,1,1,48.44
"12/9/2014",12,9,2014,19,2,1,1,48.92
"12/9/2014",12,9,2014,20,2,1,0,48.56
"12/9/2014",12,9,2014,21,2,1,0,48.92
"12/9/2014",12,9,2014,22,2,1,0,48.92
"12/9/2014",12,9,2014,23,2,1,0,48.92
"12/10/2014",12,10,2014,0,3,1,0,46.04
"12/10/2014",12,10,2014,1,3,1,0,44.96
"12/10/2014",12,10,2014,2,3,1,0,42.98
"12/10/2014",12,10,2014,3,3,1,0,42.08
"12/10/2014",12,10,2014,4,3,1,0,42.08
"12/10/2014",12,10,2014,5,3,1,0,42.2
"12/10/2014",12,10,2014,6,3,1,1,41
"12/10/2014",12,10,2014,7,3,1,1,41.9
"12/10/2014",12,10,2014,8,3,1,1,41
"12/10/2014",12,10,2014,9,3,1,1,41
"12/10/2014",12,10,2014,10,3,1,1,41.36
"12/10/2014",12,10,2014,11,3,1,1,42.56
"12/10/2014",12,10,2014,12,3,1,1,42.44
