"Account","Date","kWh","month","day","year","hour","DayOfWeek","Weekday","PeakHour","Temperature"
26435791004,"1/13/2014",261.734995,1,13,2014,"7",1,"1",1,33.1
26435791004,"1/13/2014",266.20499,1,13,2014,"8",1,"1",1,37
26435791004,"1/13/2014",289.244991,1,13,2014,"9",1,"1",1,41
26435791004,"1/14/2014",81.795,1,14,2014,"0",2,"1",0,48.9
26435791004,"1/14/2014",80.79,1,14,2014,"1",2,"1",0,48
26435791004,"1/14/2014",277.814992,1,14,2014,"10",2,"1",1,48
26435791004,"1/14/2014",281.249994,1,14,2014,"11",2,"1",1,48
26435791004,"1/14/2014",278.339991,1,14,2014,"12",2,"1",1,48.55
26435791004,"1/14/2014",267.794993,1,14,2014,"13",2,"1",1,47.875
26435791004,"1/14/2014",245.384996,1,14,2014,"14",2,"1",1,46.5
26435791004,"1/14/2014",231.314995,1,14,2014,"15",2,"1",1,47.16666667
26435791004,"1/14/2014",215.864996,1,14,2014,"16",2,"1",1,46.65
26435791004,"1/14/2014",200.849995,1,14,2014,"17",2,"1",1,45.7
26435791004,"1/14/2014",161.279998,1,14,2014,"18",2,"1",1,47.53333333
26435791004,"1/14/2014",153.404997,1,14,2014,"19",2,"1",1,46.9
26435791004,"1/14/2014",81.42,1,14,2014,"2",2,"1",0,48
26435791004,"1/14/2014",116.654997,1,14,2014,"20",2,"1",0,46.26666667
26435791004,"1/14/2014",107.159998,1,14,2014,"21",2,"1",0,45.7
26435791004,"1/14/2014",97.575,1,14,2014,"22",2,"1",0,44.8
26435791004,"1/14/2014",81.36,1,14,2014,"23",2,"1",0,44.35
26435791004,"1/14/2014",82.305,1,14,2014,"3",2,"1",0,46.9
26435791004,"1/14/2014",81.9,1,14,2014,"4",2,"1",0,45
26435791004,"1/14/2014",82.41,1,14,2014,"5",2,"1",0,44.1
26435791004,"1/14/2014",228.794996,1,14,2014,"6",2,"1",1,46.9
26435791004,"1/14/2014",259.514994,1,14,2014,"7",2,"1",1,48
26435791004,"1/14/2014",253.424995,1,14,2014,"8",2,"1",1,46.9
26435791004,"1/14/2014",240.629994,1,14,2014,"9",2,"1",1,46.9
26435791004,"1/15/2014",80.895,1,15,2014,"0",3,"1",0,43
26435791004,"1/15/2014",80.22,1,15,2014,"1",3,"1",0,43
26435791004,"1/15/2014",277.469996,1,15,2014,"10",3,"1",1,44.1
26435791004,"1/15/2014",269.024995,1,15,2014,"11",3,"1",1,46
26435791004,"1/15/2014",274.019992,1,15,2014,"12",3,"1",1,46
26435791004,"1/15/2014",268.649997,1,15,2014,"13",3,"1",1,46.9
26435791004,"1/15/2014",244.904995,1,15,2014,"14",3,"1",1,46
26435791004,"1/15/2014",237.224992,1,15,2014,"15",3,"1",1,44.1
26435791004,"1/15/2014",227.654996,1,15,2014,"16",3,"1",1,42.1
26435791004,"1/15/2014",217.214997,1,15,2014,"17",3,"1",1,39.9
26435791004,"1/15/2014",162.059999,1,15,2014,"18",3,"1",1,39.9
26435791004,"1/15/2014",152.204997,1,15,2014,"19",3,"1",1,42.1
26435791004,"1/15/2014",80.4,1,15,2014,"2",3,"1",0,42.1
26435791004,"1/15/2014",114.494998,1,15,2014,"20",3,"1",0,39
26435791004,"1/15/2014",105.599997,1,15,2014,"21",3,"1",0,37.9
26435791004,"1/15/2014",97.889995,1,15,2014,"22",3,"1",0,39
26435791004,"1/15/2014",80.61,1,15,2014,"23",3,"1",0,36.75
26435791004,"1/15/2014",81.015,1,15,2014,"3",3,"1",0,41
26435791004,"1/15/2014",81.075,1,15,2014,"4",3,"1",0,39
26435791004,"1/15/2014",81.66,1,15,2014,"5",3,"1",0,37
26435791004,"1/15/2014",231.914996,1,15,2014,"6",3,"1",1,36
26435791004,"1/15/2014",246.149994,1,15,2014,"7",3,"1",1,37
26435791004,"1/15/2014",258.764996,1,15,2014,"8",3,"1",1,39
26435791004,"1/15/2014",283.139996,1,15,2014,"9",3,"1",1,42.1
26435791004,"1/16/2014",79.35,1,16,2014,"0",4,"1",0,36
26435791004,"1/16/2014",80.37,1,16,2014,"1",4,"1",0,35.025
26435791004,"1/16/2014",280.394994,1,16,2014,"10",4,"1",1,39
26435791004,"1/16/2014",281.069995,1,16,2014,"11",4,"1",1,37.9
26435791004,"1/16/2014",281.759993,1,16,2014,"12",4,"1",1,37.3
26435791004,"1/16/2014",273.419993,1,16,2014,"13",4,"1",1,37.65
26435791004,"1/16/2014",258.134993,1,16,2014,"14",4,"1",1,39
26435791004,"1/16/2014",249.734991,1,16,2014,"15",4,"1",1,37.65
26435791004,"1/16/2014",220.709994,1,16,2014,"16",4,"1",1,37.975
26435791004,"1/16/2014",215.654994,1,16,2014,"17",4,"1",1,37.9
26435791004,"1/16/2014",172.124996,1,16,2014,"18",4,"1",1,37.65
26435791004,"1/16/2014",158.159997,1,16,2014,"19",4,"1",1,37.9
26435791004,"1/16/2014",80.04,1,16,2014,"2",4,"1",0,35.35
26435791004,"1/16/2014",121.379998,1,16,2014,"20",4,"1",0,37.3
26435791004,"1/16/2014",108.539998,1,16,2014,"21",4,"1",0,37.9
26435791004,"1/16/2014",97.949997,1,16,2014,"22",4,"1",0,37.65
26435791004,"1/16/2014",82.485,1,16,2014,"23",4,"1",0,37.9
26435791004,"1/16/2014",81.375,1,16,2014,"3",4,"1",0,36
26435791004,"1/16/2014",80.355,1,16,2014,"4",4,"1",0,33.9
26435791004,"1/16/2014",80.595,1,16,2014,"5",4,"1",0,33.56666667
26435791004,"1/16/2014",223.799995,1,16,2014,"6",4,"1",1,35.06666667
26435791004,"1/16/2014",252.464995,1,16,2014,"7",4,"1",1,33.86666667
26435791004,"1/16/2014",266.474995,1,16,2014,"8",4,"1",1,35.35
26435791004,"1/16/2014",279.614993,1,16,2014,"9",4,"1",1,37.26666667
26435791004,"1/17/2014",81.735,1,17,2014,"0",5,"1",0,37
26435791004,"1/17/2014",80.91,1,17,2014,"1",5,"1",0,37.3
26435791004,"1/17/2014",292.409994,1,17,2014,"10",5,"1",1,39.9
26435791004,"1/17/2014",286.754997,1,17,2014,"11",5,"1",1,42.1
26435791004,"1/17/2014",281.339996,1,17,2014,"12",5,"1",1,44.1
26435791004,"1/17/2014",266.714991,1,17,2014,"13",5,"1",1,45
26435791004,"1/17/2014",238.964998,1,17,2014,"14",5,"1",1,45
26435791004,"1/17/2014",198.524996,1,17,2014,"15",5,"1",1,44.1
26435791004,"1/17/2014",197.039994,1,17,2014,"16",5,"1",1,42.1
26435791004,"1/17/2014",208.514995,1,17,2014,"17",5,"1",1,39
26435791004,"1/17/2014",166.589994,1,17,2014,"18",5,"1",1,37.9
26435791004,"1/17/2014",162.539997,1,17,2014,"19",5,"1",1,36
26435791004,"1/17/2014",81.045,1,17,2014,"2",5,"1",0,37
26435791004,"1/17/2014",120.134998,1,17,2014,"20",5,"1",0,34
26435791004,"1/17/2014",109.589998,1,17,2014,"21",5,"1",0,35.1
26435791004,"1/17/2014",101.129999,1,17,2014,"22",5,"1",0,34
26435791004,"1/17/2014",83.445,1,17,2014,"23",5,"1",0,34
26435791004,"1/17/2014",81.915,1,17,2014,"3",5,"1",0,37.26666667
26435791004,"1/17/2014",81.99,1,17,2014,"4",5,"1",0,37.26666667
26435791004,"1/17/2014",81.36,1,17,2014,"5",5,"1",0,37.26666667
26435791004,"1/17/2014",227.204994,1,17,2014,"6",5,"1",1,36
26435791004,"1/17/2014",267.299996,1,17,2014,"7",5,"1",1,35.6
26435791004,"1/17/2014",288.89999,1,17,2014,"8",5,"1",1,37.9
26435791004,"1/17/2014",294.404994,1,17,2014,"9",5,"1",1,39
26435791004,"1/18/2014",80.145,1,18,2014,"0",6,"0",0,34
26435791004,"1/18/2014",79.86,1,18,2014,"1",6,"0",0,34
26435791004,"1/18/2014",182.204997,1,18,2014,"10",6,"0",1,37.26666667
26435791004,"1/18/2014",183.434997,1,18,2014,"11",6,"0",1,37.26666667
26435791004,"1/18/2014",181.769997,1,18,2014,"12",6,"0",1,35.43333333
26435791004,"1/18/2014",176.264998,1,18,2014,"13",6,"0",1,33.56666667
26435791004,"1/18/2014",163.889996,1,18,2014,"14",6,"0",1,33.1
26435791004,"1/18/2014",127.034999,1,18,2014,"15",6,"0",1,33.9
26435791004,"1/18/2014",122.954999,1,18,2014,"16",6,"0",1,34
26435791004,"1/18/2014",102.239997,1,18,2014,"17",6,"0",1,33.1
26435791004,"1/18/2014",102.705,1,18,2014,"18",6,"0",1,34
26435791004,"1/18/2014",100.335,1,18,2014,"19",6,"0",1,34
26435791004,"1/18/2014",79.77,1,18,2014,"2",6,"0",0,35.1
26435791004,"1/18/2014",99.645,1,18,2014,"20",6,"0",0,34
26435791004,"1/18/2014",99.629998,1,18,2014,"21",6,"0",0,33.9
26435791004,"1/18/2014",91.05,1,18,2014,"22",6,"0",0,33.1
26435791004,"1/18/2014",84.57,1,18,2014,"23",6,"0",0,33.56666667
26435791004,"1/18/2014",82.215,1,18,2014,"3",6,"0",0,35.1
26435791004,"1/18/2014",81.255,1,18,2014,"4",6,"0",0,36
26435791004,"1/18/2014",80.1,1,18,2014,"5",6,"0",0,35.8
26435791004,"1/18/2014",146.684998,1,18,2014,"6",6,"0",1,36
26435791004,"1/18/2014",146.849998,1,18,2014,"7",6,"0",1,37.2
26435791004,"1/18/2014",177.044996,1,18,2014,"8",6,"0",1,37.65
26435791004,"1/18/2014",182.609995,1,18,2014,"9",6,"0",1,37.9
26435791004,"1/19/2014",81.015,1,19,2014,"0",0,"0",0,33.45
26435791004,"1/19/2014",79.53,1,19,2014,"1",0,"0",0,33.1
26435791004,"1/19/2014",81.615,1,19,2014,"10",0,"0",1,30.55
26435791004,"1/19/2014",81.735,1,19,2014,"11",0,"0",1,30.55
26435791004,"1/19/2014",81.405,1,19,2014,"12",0,"0",1,32
26435791004,"1/19/2014",81.3,1,19,2014,"13",0,"0",1,33.1
26435791004,"1/19/2014",81.06,1,19,2014,"14",0,"0",1,34
26435791004,"1/19/2014",88.05,1,19,2014,"15",0,"0",1,34
26435791004,"1/19/2014",94.514999,1,19,2014,"16",0,"0",1,34
26435791004,"1/19/2014",95.099999,1,19,2014,"17",0,"0",1,33.1
26435791004,"1/19/2014",94.44,1,19,2014,"18",0,"0",1,32
26435791004,"1/19/2014",95.414999,1,19,2014,"19",0,"0",1,30.9
26435791004,"1/19/2014",80.535,1,19,2014,"2",0,"0",0,33.45
26435791004,"1/19/2014",94.199999,1,19,2014,"20",0,"0",0,30.9
26435791004,"1/19/2014",96.329999,1,19,2014,"21",0,"0",0,30.9
26435791004,"1/19/2014",85.68,1,19,2014,"22",0,"0",0,30.9
26435791004,"1/19/2014",82.455,1,19,2014,"23",0,"0",0,30.9
26435791004,"1/19/2014",81.255,1,19,2014,"3",0,"0",0,33.1
26435791004,"1/19/2014",80.625,1,19,2014,"4",0,"0",0,33.56666667
26435791004,"1/19/2014",80.22,1,19,2014,"5",0,"0",0,33.1
26435791004,"1/19/2014",87.015,1,19,2014,"6",0,"0",1,32
26435791004,"1/19/2014",81.285,1,19,2014,"7",0,"0",1,31.45
26435791004,"1/19/2014",83.205,1,19,2014,"8",0,"0",1,30.15
26435791004,"1/19/2014",83.205,1,19,2014,"9",0,"0",1,30.13333333
