"Date","month","day","year","hour","DayOfWeek","Weekday","PeakHour","Temperature"
20160621,6,21,2016,16,2,1,1,81
20160621,6,21,2016,17,2,1,1,80
20160621,6,21,2016,18,2,1,1,79
20160621,6,21,2016,19,2,1,1,78
20160621,6,21,2016,20,2,1,0,76
20160621,6,21,2016,21,2,1,0,75
20160621,6,21,2016,22,2,1,0,73
20160621,6,21,2016,23,2,1,0,71
20160622,6,22,2016,0,3,1,0,71
20160622,6,22,2016,1,3,1,0,69
20160622,6,22,2016,2,3,1,0,68
20160622,6,22,2016,3,3,1,0,67
20160622,6,22,2016,4,3,1,0,67
20160622,6,22,2016,5,3,1,0,67
20160622,6,22,2016,6,3,1,1,67
20160622,6,22,2016,7,3,1,1,69
20160622,6,22,2016,8,3,1,1,72
20160622,6,22,2016,9,3,1,1,74
20160622,6,22,2016,10,3,1,1,76
20160622,6,22,2016,11,3,1,1,78
20160622,6,22,2016,12,3,1,1,79
20160622,6,22,2016,13,3,1,1,80
20160622,6,22,2016,14,3,1,1,81
20160622,6,22,2016,15,3,1,1,80
20160622,6,22,2016,16,3,1,1,79
20160622,6,22,2016,17,3,1,1,78
20160622,6,22,2016,18,3,1,1,76
20160622,6,22,2016,19,3,1,1,75
20160622,6,22,2016,20,3,1,0,74
20160622,6,22,2016,21,3,1,0,72
20160622,6,22,2016,22,3,1,0,70
20160622,6,22,2016,23,3,1,0,69
